scenario,iou_step6,fnr_step6,rmse_step6
sim_1000kw_1m2_T01,0.8036101083026689,0.07327227310568421,0.15345881879329681
sim_1000kw_1m2_T03,0.7376623376618586,0.04135021097042924,0.14227710664272308
sim_1000kw_2m2_T01,0.7460744728574491,0.2268712226870168,0.16690397262573242
sim_1000kw_2m2_T05,0.7958552428082908,0.19943995021773508,0.15976585447788239
sim_1500kw_1m2_T02,0.8202819107279482,0.032779316712819584,0.1568918526172638
sim_1500kw_1m2_T03,0.7893388006146647,0.07894736842100541,0.14216341078281403
sim_1500kw_2m2_T05,0.8499423963131193,0.14538082826523446,0.16596907377243042
sim_500kw_1m2_T01,0.5489067894124868,0.018518518518480416,0.12343978881835938
sim_500kw_1m2_T02,0.6142735768898774,0.06347150259059135,0.13150356709957123
sim_500kw_1m2_T03,0.6242690058470406,0.26379310344782103,0.12412258237600327
sim_500kw_1m2_T04,0.6833013435694019,0.08951406649604922,0.11704003810882568
sim_500kw_2m2_T02,0.7522935779813062,0.05037637521711038,0.15219123661518097
sim_500kw_2m2_T05,0.7655759748988052,0.21181356714341865,0.1581915318965912
