name,loc,hrr_kw,area_m2,triggered,t_trig,t0_used,ConvLSTM_iou_step1,ConvLSTM_iou_step6,ConvLSTM_rmse_step6,ConvLSTM_fnr_step6,ConvLSTM_iou_all,ConvLSTM_fnr_all,FNO no-PI_iou_step1,FNO no-PI_iou_step6,FNO no-PI_rmse_step6,FNO no-PI_fnr_step6,FNO no-PI_iou_all,FNO no-PI_fnr_all,FNO PI_iou_step1,FNO PI_iou_step6,FNO PI_rmse_step6,FNO PI_fnr_step6,FNO PI_iou_all,FNO PI_fnr_all
sim_1000kw_1m2_T01,T01,1000,1,True,90.0,90.0,0.8331318016918584,0.7548638132289845,0.05457029491662979,0.0840415486307044,0.7640310077518194,0.0722891566264924,0.7367325702385674,0.774829416223825,0.045009270310401917,0.03493862134085464,0.7393982808021863,0.028426204819271755,0.7362409138102427,0.7833992094855468,0.057985808700323105,0.06421152030211123,0.7398409255241156,0.03689759036143883
sim_1000kw_1m2_T03,T03,1000,1,True,10.0,10.0,0.7687074829905827,0.5054945054938883,0.12938416004180908,0.3213114754093093,0.5502235469446944,0.34724186704372445,0.7389830508449526,0.5117739403445655,0.09688007086515427,0.46557377049104004,0.5914275838228167,0.3949787835925053,0.7128712871263602,0.5942684766205215,0.09792013466358185,0.3540983606551572,0.6463496316139832,0.31753889674670527
sim_1000kw_2m2_T01,T01,1000,2,True,40.0,40.0,0.8111782477329137,0.6092879256962171,0.1228766068816185,0.38423028785958435,0.6558281318042305,0.3351971748086617,0.7852161785205227,0.7348578491960848,0.07789995521306992,0.2559449311637948,0.746930134085992,0.22130665097112692,0.7914951989015206,0.6627255756063082,0.09710802882909775,0.33354192740905286,0.7279785431958317,0.24117127722185974
sim_1000kw_2m2_T05,T05,1000,2,True,10.0,10.0,0.5718901453948758,0.46816479400727146,0.16867467761039734,0.5229007633585292,0.4610419548178353,0.5260663507108381,0.6185064935054895,0.42140151515131563,0.15926648676395416,0.5753816793890385,0.4324482395601319,0.5619668246444831,0.5751211631654684,0.30802088277156714,0.20879347622394562,0.6903625954195179,0.3596059113300071,0.6367298578198297
sim_1500kw_1m2_T02,T02,1500,1,True,10.0,10.0,0.46930693069214,0.4646814404428915,0.12829682230949402,0.5112891478510478,0.4437188520363561,0.5404058383765502,0.5502846299799805,0.576589595375306,0.11998302489519119,0.41879096868141386,0.6041775456918008,0.38216447134204656,0.5461538461527958,0.4676833696438143,0.1492471545934677,0.5309541150760881,0.5246794308799358,0.4683161267354097
sim_1500kw_1m2_T03,T03,1500,1,True,10.0,10.0,0.6908665105370237,0.4587400177458219,0.13558249175548553,0.44288793103400553,0.5434782608694408,0.3810268438883552,0.784580498864434,0.5988647114469263,0.090090811252594,0.3178879310341402,0.6616752456713472,0.26296585874374173,0.7471526195882753,0.5873161764700484,0.09974164515733719,0.31142241379276786,0.6670483169222196,0.24081313526186063
sim_1500kw_2m2_T05,T05,1500,2,True,10.0,10.0,0.5275590551175168,0.4517980107113803,0.2070034295320511,0.5431334622821884,0.4334745014998735,0.5609080346768647,0.5464725643890858,0.4971053647238529,0.17683765292167664,0.5017408123789161,0.4714717383575834,0.5258736258825162,0.5259593679452303,0.3734054889832341,0.22027014195919037,0.6263056092840904,0.39376947040494936,0.604611672177978
sim_500kw_1m2_T01,T01,500,1,False,,,nan,nan,nan,nan,,,nan,nan,nan,nan,,,nan,nan,nan,nan,,
sim_500kw_1m2_T02,T02,500,1,True,10.0,10.0,0.600938967133329,0.4848484848477502,0.11397866904735565,0.27437641723293793,0.48048399687725196,0.3835753630443748,0.6076555023894371,0.5861297539136776,0.07200057804584503,0.4058956916090569,0.5827978250120698,0.40961442163224354,0.5904761904733787,0.3741496598630972,0.09449387341737747,0.6258503401346353,0.46859421734772255,0.529293940911102
sim_500kw_1m2_T03,T03,500,1,True,10.0,10.0,0.847533632283195,0.438988095237442,0.13723857700824738,0.26980198019735196,0.5223654283546162,0.3109999999998445,0.7040358744363048,0.40284360189478,0.08380886167287827,0.5792079207906455,0.4726126999512978,0.5124999999997437,0.8161434977541877,0.45971563980933716,0.08064578473567963,0.5198019801967332,0.5793339862876693,0.40849999999979575
sim_500kw_1m2_T04,T04,500,1,False,,,nan,nan,nan,nan,,,nan,nan,nan,nan,,,nan,nan,nan,nan,,
sim_500kw_2m2_T02,T02,500,2,True,10.0,10.0,0.4743935309960259,0.5595703124994535,0.10942891985177994,0.38519313304679703,0.49856596558305477,0.46306306306294387,0.5510752688157229,0.5351812366732034,0.11054893583059311,0.46137339055744486,0.5819108280253295,0.412097812097706,0.5308310991942873,0.4122055674513788,0.13828657567501068,0.5869098712440055,0.48797953964181895,0.5088803088801779
sim_500kw_2m2_T05,T05,500,2,True,10.0,10.0,0.5268817204286912,0.5942028985502462,0.10908308625221252,0.3333333333330322,0.5541231839573246,0.37052533705244756,0.5798816568030182,0.3955357142853611,0.13231351971626282,0.5998193315261068,0.4583904892545819,0.5339377033936462,0.5470588235278028,0.2272317403063776,0.18343457579612732,0.7723577235765381,0.3314220183485478,0.6641097164108172
